epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.54185,1.98241,3.75404,1.67269,0.4446,0.18756,0.18756,0.09223,1.91926,3.14745,1.64158,0.00032963,0.00032963,0.00032963
2,15.6209,2.00461,2.74847,1.61952,0.23811,0.45352,0.27591,0.11268,2.00861,2.60563,1.87718,0.000662801,0.000662801,0.000662801
3,22.2079,1.93473,2.15864,1.60158,0.49933,0.3647,0.30097,0.12631,2.05621,3.0325,1.78544,0.000995323,0.000995323,0.000995323
4,28.1248,1.88405,2.02616,1.59006,0.457,0.47457,0.42794,0.1789,1.87822,1.98811,1.62559,0.000997803,0.000997803,0.000997803
5,34.3266,1.83629,1.9571,1.56895,0.55461,0.42972,0.42146,0.18036,1.88604,2.00338,1.63827,0.000996097,0.000996097,0.000996097
6,40.5735,1.77701,1.8064,1.52561,0.37016,0.52605,0.38068,0.15923,1.97238,2.7767,1.79176,0.000993906,0.000993906,0.000993906
7,46.8087,1.70688,1.7234,1.50754,0.61293,0.47407,0.51774,0.24761,1.77752,1.86089,1.59532,0.000991232,0.000991232,0.000991232
8,53.3699,1.6982,1.76067,1.5047,0.47599,0.48677,0.43844,0.19335,1.79307,2.26477,1.5811,0.000988079,0.000988079,0.000988079
9,59.5818,1.67874,1.70252,1.49638,0.66883,0.507,0.56315,0.27263,1.64809,1.70163,1.50537,0.000984449,0.000984449,0.000984449
10,65.908,1.70957,1.68766,1.47669,0.46348,0.56998,0.55457,0.26102,1.72783,1.85165,1.62619,0.000980345,0.000980345,0.000980345
11,72.4821,1.67221,1.64218,1.47778,0.447,0.5651,0.53095,0.24965,1.72634,1.87094,1.59776,0.000975773,0.000975773,0.000975773
12,78.535,1.66464,1.60431,1.46164,0.51639,0.59436,0.58818,0.29266,1.64099,1.64927,1.47893,0.000970736,0.000970736,0.000970736
13,84.8665,1.65152,1.58029,1.44409,0.46948,0.48258,0.53358,0.25053,1.77018,1.8425,1.56816,0.000965239,0.000965239,0.000965239
14,91.2423,1.64525,1.58483,1.45993,0.69676,0.48898,0.58535,0.28251,1.63584,1.64684,1.51012,0.000959289,0.000959289,0.000959289
15,97.4847,1.62336,1.56675,1.45779,0.65332,0.37985,0.43863,0.19146,2.02872,1.92117,1.66396,0.000952889,0.000952889,0.000952889
16,103.466,1.599,1.536,1.44147,0.68274,0.50245,0.56526,0.28383,1.69169,1.60577,1.49863,0.000946048,0.000946048,0.000946048
17,109.234,1.58309,1.56269,1.44579,0.4703,0.54367,0.51101,0.27253,1.70416,1.87356,1.55336,0.000938772,0.000938772,0.000938772
18,114.863,1.58348,1.50537,1.4182,0.68899,0.50237,0.55709,0.27882,1.72984,1.64325,1.55903,0.000931067,0.000931067,0.000931067
19,120.533,1.57298,1.51225,1.43824,0.54233,0.54951,0.5847,0.30088,1.66674,1.5884,1.50291,0.000922942,0.000922942,0.000922942
20,126.229,1.57456,1.47235,1.41403,0.69268,0.51306,0.57494,0.29525,1.73002,1.64736,1.52929,0.000914405,0.000914405,0.000914405
21,131.897,1.55855,1.45286,1.40131,0.68571,0.56948,0.65914,0.35175,1.53864,1.44032,1.44544,0.000905463,0.000905463,0.000905463
22,138.019,1.56592,1.45795,1.42871,0.46033,0.54531,0.53437,0.26211,1.7955,1.69989,1.56751,0.000896127,0.000896127,0.000896127
23,144.027,1.57855,1.44626,1.41085,0.52774,0.55614,0.58647,0.30146,1.63238,1.59609,1.47806,0.000886404,0.000886404,0.000886404
24,150.306,1.55,1.4348,1.39848,0.48241,0.61796,0.5882,0.30279,1.68687,1.59809,1.55046,0.000876305,0.000876305,0.000876305
25,156.511,1.53286,1.45381,1.42057,0.55969,0.54645,0.56522,0.27236,1.74354,1.57138,1.50056,0.000865839,0.000865839,0.000865839
26,162.644,1.55361,1.41047,1.40114,0.64808,0.58508,0.63422,0.32374,1.59115,1.44818,1.44861,0.000855018,0.000855018,0.000855018
27,169.034,1.54795,1.42086,1.40843,0.73235,0.52671,0.58242,0.30741,1.66276,1.50295,1.4775,0.000843851,0.000843851,0.000843851
28,175.706,1.52702,1.40137,1.39447,0.60983,0.61661,0.63261,0.34459,1.53107,1.48347,1.42823,0.000832349,0.000832349,0.000832349
29,182.144,1.54188,1.44932,1.41017,0.75944,0.51956,0.60839,0.30149,1.6542,1.53343,1.47311,0.000820525,0.000820525,0.000820525
30,188.424,1.53465,1.39939,1.39212,0.57301,0.59849,0.62508,0.33003,1.54756,1.5825,1.42261,0.000808389,0.000808389,0.000808389
31,194.756,1.52003,1.40445,1.39738,0.55007,0.53284,0.58349,0.30353,1.65874,1.50357,1.4646,0.000795954,0.000795954,0.000795954
32,200.892,1.53324,1.36968,1.38243,0.75092,0.52073,0.62218,0.33055,1.57619,1.47949,1.46304,0.000783231,0.000783231,0.000783231
33,206.956,1.50924,1.39795,1.3849,0.60042,0.61055,0.64377,0.33895,1.564,1.43879,1.449,0.000770234,0.000770234,0.000770234
34,213.304,1.50525,1.39089,1.38801,0.6754,0.5415,0.59745,0.33006,1.6266,1.52047,1.48671,0.000756976,0.000756976,0.000756976
35,219.557,1.48313,1.3529,1.3683,0.65251,0.63789,0.67635,0.34666,1.59731,1.45456,1.45059,0.000743468,0.000743468,0.000743468
36,225.883,1.48766,1.36844,1.38185,0.60464,0.66739,0.66969,0.36205,1.54893,1.39905,1.43998,0.000729725,0.000729725,0.000729725
37,232.353,1.48695,1.34333,1.36383,0.60806,0.63951,0.65605,0.34287,1.58621,1.40734,1.43644,0.000715761,0.000715761,0.000715761
38,238.419,1.47793,1.33852,1.36621,0.64311,0.60512,0.66389,0.36116,1.53133,1.39779,1.42834,0.000701588,0.000701588,0.000701588
39,244.999,1.47373,1.3144,1.34508,0.69238,0.57431,0.63396,0.34359,1.57382,1.41345,1.44127,0.000687222,0.000687222,0.000687222
40,251.291,1.47268,1.34153,1.37794,0.61192,0.63644,0.69293,0.37197,1.52181,1.35504,1.41428,0.000672675,0.000672675,0.000672675
41,257.631,1.48002,1.3226,1.35547,0.62252,0.55896,0.62514,0.32377,1.61969,1.4753,1.47341,0.000657963,0.000657963,0.000657963
42,263.681,1.47141,1.31039,1.34966,0.63497,0.64748,0.68883,0.37555,1.51664,1.31185,1.4208,0.000643101,0.000643101,0.000643101
43,269.837,1.46727,1.32263,1.35674,0.59462,0.60388,0.62042,0.33366,1.62732,1.4086,1.45995,0.000628101,0.000628101,0.000628101
44,276.159,1.45564,1.30272,1.34199,0.57125,0.6223,0.63025,0.33001,1.59431,1.40705,1.45396,0.000612981,0.000612981,0.000612981
45,282.747,1.46591,1.33218,1.36336,0.64358,0.61592,0.65044,0.34119,1.65283,1.40247,1.46165,0.000597754,0.000597754,0.000597754
46,289.38,1.4339,1.27014,1.33248,0.67283,0.6074,0.6715,0.36583,1.53397,1.32257,1.41823,0.000582435,0.000582435,0.000582435
47,295.87,1.44208,1.28709,1.34611,0.62074,0.65179,0.68239,0.37772,1.50012,1.29602,1.38489,0.00056704,0.00056704,0.00056704
48,302.222,1.42517,1.28008,1.35294,0.58145,0.61936,0.64086,0.34642,1.59015,1.34684,1.449,0.000551584,0.000551584,0.000551584
49,308.625,1.44847,1.27529,1.34653,0.63125,0.61955,0.67552,0.36931,1.52545,1.32169,1.43521,0.000536081,0.000536081,0.000536081
50,314.79,1.45454,1.2623,1.33536,0.65627,0.61294,0.66516,0.36528,1.56899,1.34342,1.43474,0.000520548,0.000520548,0.000520548
51,320.904,1.43355,1.28953,1.35545,0.60684,0.61082,0.63695,0.34494,1.59488,1.42766,1.45143,0.000505,0.000505,0.000505
52,327.384,1.4419,1.2561,1.32274,0.57337,0.63823,0.66366,0.34513,1.57908,1.37819,1.45181,0.000489452,0.000489452,0.000489452
53,333.477,1.40217,1.25559,1.33561,0.67257,0.63981,0.70852,0.38045,1.51048,1.32187,1.40549,0.000473919,0.000473919,0.000473919
54,339.958,1.45438,1.26106,1.34115,0.60153,0.66377,0.68307,0.37032,1.5377,1.33157,1.40525,0.000458416,0.000458416,0.000458416
55,346.151,1.40604,1.26137,1.33545,0.60041,0.66243,0.69077,0.37569,1.53675,1.27447,1.41482,0.00044296,0.00044296,0.00044296
56,352.3,1.42242,1.25504,1.32177,0.67742,0.60188,0.67338,0.34803,1.59819,1.33587,1.43586,0.000427565,0.000427565,0.000427565
57,358.62,1.4018,1.24594,1.33324,0.70146,0.57989,0.64986,0.34901,1.63466,1.3731,1.45365,0.000412246,0.000412246,0.000412246
58,364.958,1.40324,1.21635,1.30837,0.70601,0.55702,0.65375,0.35628,1.56592,1.33538,1.43189,0.000397019,0.000397019,0.000397019
59,371.004,1.40459,1.23273,1.32018,0.70093,0.57319,0.66371,0.36402,1.57843,1.3165,1.42512,0.000381899,0.000381899,0.000381899
60,377.637,1.39462,1.22484,1.31584,0.69644,0.65146,0.71465,0.39758,1.47611,1.26215,1.37205,0.000366899,0.000366899,0.000366899
61,383.759,1.39748,1.23586,1.32693,0.56395,0.66521,0.67373,0.38955,1.50166,1.29769,1.39098,0.000352037,0.000352037,0.000352037
62,390.195,1.37811,1.21629,1.32428,0.70884,0.59247,0.66855,0.36703,1.56263,1.31838,1.43431,0.000337325,0.000337325,0.000337325
63,396.802,1.39578,1.20982,1.31985,0.71156,0.60339,0.68731,0.37954,1.523,1.29461,1.39862,0.000322778,0.000322778,0.000322778
64,403.048,1.42137,1.22595,1.3194,0.66669,0.65511,0.70763,0.39685,1.48847,1.26514,1.37951,0.000308412,0.000308412,0.000308412
65,409.744,1.40158,1.19432,1.29465,0.73669,0.61145,0.69281,0.38763,1.53122,1.25679,1.40274,0.000294239,0.000294239,0.000294239
66,416.309,1.3656,1.19777,1.30621,0.64593,0.6881,0.71513,0.39076,1.50142,1.25978,1.40261,0.000280275,0.000280275,0.000280275
67,422.395,1.38425,1.2069,1.31747,0.69424,0.6221,0.69233,0.39708,1.48061,1.26851,1.3777,0.000266532,0.000266532,0.000266532
68,429.108,1.38123,1.23107,1.32695,0.67688,0.64639,0.69321,0.38324,1.52248,1.27136,1.39345,0.000253024,0.000253024,0.000253024
69,435.321,1.37057,1.17314,1.30035,0.67531,0.64133,0.70922,0.39105,1.51895,1.25111,1.38726,0.000239766,0.000239766,0.000239766
70,441.603,1.36885,1.20295,1.30572,0.68327,0.62813,0.69829,0.38251,1.5377,1.27377,1.40907,0.000226769,0.000226769,0.000226769
71,447.912,1.38791,1.17292,1.30032,0.74117,0.62828,0.71124,0.39967,1.48086,1.25386,1.38259,0.000214046,0.000214046,0.000214046
72,454.155,1.35545,1.18211,1.29929,0.67656,0.65974,0.71428,0.40033,1.47705,1.22288,1.37287,0.000201611,0.000201611,0.000201611
73,460.477,1.37255,1.18852,1.30383,0.67992,0.64709,0.71442,0.39646,1.50035,1.24471,1.37147,0.000189475,0.000189475,0.000189475
74,466.091,1.35099,1.17804,1.305,0.70035,0.66571,0.73165,0.41316,1.47166,1.20065,1.36028,0.000177651,0.000177651,0.000177651
75,471.776,1.36516,1.19335,1.30527,0.71561,0.66324,0.73839,0.4193,1.44035,1.179,1.35295,0.000166149,0.000166149,0.000166149
76,477.505,1.34308,1.17494,1.30733,0.7887,0.61895,0.70659,0.40098,1.4916,1.24372,1.38486,0.000154982,0.000154982,0.000154982
77,483.219,1.34852,1.16369,1.29566,0.65416,0.65785,0.7001,0.38934,1.53074,1.24978,1.40252,0.000144161,0.000144161,0.000144161
78,488.899,1.36729,1.15771,1.28377,0.68428,0.68007,0.72106,0.40554,1.51282,1.22209,1.38683,0.000133695,0.000133695,0.000133695
79,494.772,1.33422,1.15021,1.29307,0.74461,0.62442,0.72194,0.41194,1.45852,1.18443,1.35957,0.000123596,0.000123596,0.000123596
80,500.704,1.34141,1.13738,1.276,0.67027,0.68687,0.71802,0.39836,1.50663,1.20702,1.37922,0.000113873,0.000113873,0.000113873
81,506.713,1.34534,1.15737,1.28094,0.6714,0.66736,0.71997,0.39409,1.50981,1.21042,1.38082,0.000104537,0.000104537,0.000104537
82,513.071,1.31771,1.1431,1.27943,0.72615,0.67212,0.73029,0.41536,1.46411,1.18219,1.36145,9.55951e-05,9.55951e-05,9.55951e-05
83,519.451,1.35885,1.17088,1.30069,0.74091,0.617,0.70148,0.39252,1.51236,1.24239,1.38823,8.70577e-05,8.70577e-05,8.70577e-05
84,525.626,1.34763,1.15979,1.29664,0.68422,0.66268,0.71272,0.40136,1.52003,1.21978,1.39368,7.89327e-05,7.89327e-05,7.89327e-05
85,531.776,1.33418,1.13344,1.27226,0.70291,0.66385,0.72033,0.40504,1.49577,1.21261,1.37395,7.12282e-05,7.12282e-05,7.12282e-05
86,537.645,1.31671,1.13345,1.27976,0.67242,0.66879,0.71185,0.39468,1.51376,1.22189,1.38816,6.39518e-05,6.39518e-05,6.39518e-05
