epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54722,2.15939,4.21416,1.80796,0.00339,0.24127,0.01893,0.00741,2.20268,4.13766,2.16543,0.0901,0.0011,0.0011
2,5.48534,2.17542,3.0234,1.73216,0.00459,0.07761,0.00348,0.00089,3.4388,7.96404,5.25099,0.0792994,0.00229944,0.00229944
3,8.39351,2.18912,2.53865,1.70503,0.20526,0.22673,0.00301,0.00083,nan,nan,nan,0.0684966,0.00349658,0.00349658
4,11.2295,2.01179,2.2284,1.66496,0.00084,0.10479,0.0006,0.00017,3.98526,inf,234.643,0.0576897,0.00468967,0.00468967
5,13.8139,1.9606,2.16502,1.62804,0.00124,0.19598,0.00111,0.00035,4.79959,inf,731.158,0.046877,0.00587697,0.00587697
6,16.3571,1.9683,2.19738,1.66091,0.00215,0.24543,0.00176,0.00066,4.05352,inf,139.107,0.0360567,0.00705673,0.00705673
7,18.8371,1.96874,2.09444,1.64805,0.37565,0.19411,0.05136,0.01025,3.94234,inf,19.3515,0.0252272,0.00822723,0.00822723
8,21.4481,1.9877,2.01523,1.56263,0.23917,0.12224,0.00261,0.00056,3.52977,inf,6.70226,0.0143867,0.00938675,0.00938675
9,24.0269,1.9924,2.049,1.57941,0.47207,0.10707,0.05522,0.01934,2.91336,15.1234,3.5807,0.00984449,0.00984449,0.00984449
10,26.6991,1.98041,2.03567,1.59391,0.5455,0.10911,0.03785,0.0122,2.84001,8.67126,2.99859,0.00980345,0.00980345,0.00980345
11,29.4841,1.86649,1.94458,1.55045,0.45528,0.14889,0.03309,0.01227,3.00424,inf,3.644,0.00975773,0.00975773,0.00975773
12,32.2185,1.92915,1.97957,1.59455,0.46258,0.17138,0.04547,0.01718,2.69105,18.5819,2.72563,0.00970736,0.00970736,0.00970736
13,34.7904,1.9265,1.95576,1.57512,0.43294,0.01764,0.0072,0.00179,3.07918,7.03366,3.76414,0.00965239,0.00965239,0.00965239
14,37.6368,1.86382,1.98722,1.60715,0.36371,0.22605,0.13851,0.04874,2.36585,9.61956,2.38742,0.00959289,0.00959289,0.00959289
15,40.4131,1.83065,1.90872,1.59521,0.31357,0.09781,0.07945,0.03168,2.31877,4.10047,2.30299,0.00952889,0.00952889,0.00952889
16,43.0481,1.84562,1.83876,1.56797,0.3035,0.17316,0.09998,0.03545,2.38395,6.07089,2.35327,0.00946048,0.00946048,0.00946048
